keys,en,sv
NAV,Navigation,Styrhytt
MISSION_OPS,Mission Ops.,Uppdragskontrollrum
LIVING_QUARTERS,Living Quarters,Bostad
MATERIALS_LAB,Materials Lab,Materiallab
PRINTERS,Printers,3D-skrivare
INFIRMARY,Infirmary,Sjukstuga
STORAGE_BAY,Storage Bay,Förvaring
ENGINE_ROOM,Engine Room,Maskinrum
BROOM_CLOSET,Broom Closet,Städskrubb
CHAP_LONG,Customer Happiness Assistant Program,Kund Nöjdhets Uppmuntrings Tjänare
CREDIT,Credit,Kredit
LOANS,Loans,Debit
TOOK_OUT_LOAN_AMOUNT,Loaned {amount},Lånade {amount}
DEBIT,Debit,Lån
INTEREST_WITH_RATE,Interest {rate},Ränta {rate}
RENT,Rent,Hyra
BALANCE,Balance,Balans
DUE_IN,Due in,Betalas om
PREVIOUS,previous,föregående
NEXT,next,nästa
DAY_WITH_NUMBER,1 day,1 dag
DAYS_WITH_NUMBER,{days} days,{days} dagar
SELF,Self/Player,Du själv/Spelaren
ALLY,Ally,Vän
ALLIES,Allies,Vänner
ENEMY,Enemy,Fiende
ENEMIES,Enemies,Fiender
ENTITY,Entity,Entitet
ENTITES,Entities,Entiteter
FOE,Foe,Fiende
FOES,Foes,Fiender
OWNER,Owner,Ägare
UNKNOWN_ID,Unknown {type} ({id}),Okänd {type} ({id})
SUITE,Suit,Färg
SUIT_NONE,None,Ingen
SUIT_ELECTRICITY,Electricity,Elektrisk
SUIT_METAL,Metal,Metall
SUIT_DATA,Data,Data
EFFECT,Effect,Effect
EFFECT_SUITED_UP,Suited Up,Infärgad
EFFECT_ACCELERATED,Accelerated,Accelererad
EFFECT_SOLID,Solid,Solid
EFFECT_BREAKING,Breaking,Skör
EFFECT_IMPOSING,Imposing,Imponerande
EFFECT_SUITED_UP_DESC,Must be matching suits on both sides to not break bonus,Måste vara matchande färg på båda sidor för att inte bryta bonus
EFFECT_ACCELERATED_DESC,"Keeping crit duplicates bonus, breaking causes negative bonus","Bevarad crit duplicerar bonusen, bruten crit ger negativ bonus"
EFFECT_SOLID_DESC,Crit multiplier cannot break due to this card,Crit bonusen kan inte brytas på grund av detta kort
EFFECT_BREAKING_DESC,Forces crit multiplier to be set to negative,Tvingar crit bonusen att bli negativ
EFFECT_IMPOSING_DESC,Secondary effects also trigger while card is in hand,Sekundär effekter triggar även när kortet är i hand
ATTACK,Attack,Attackera
SHIELD,Shield,Skölda
HEAL,Heal,Hela
A_AND_B,{a} & {b},{a} & {b}
A_OR_B,{a} or {b},{a} eller {b}
TARGET,Target,Mottagare
HAS_BONUS,Effect elevated by bonus,Effekt förhöjd av bonus
CANNOT_HAVE_BONUS,Not effected by accumulated bonus,Inte påverkad av ackumulerad bonus
NO_BONUS,Can be elevated by bonus,Kan förändras av bonus
DOES_NOTHING,Does nothing,Har ingen effekt
RANDOM_TARGETS,Ranom targets,Slumpvalda mål
FOR_VALUE,for {value},för {värde}
NO_ONE,no-one,ingen
DEAD,dead,död
HEALTH_POINTS,hp,hp
HEALING_HP,healing {count} {hp},helar {count} {hp}
HURT_HP,hurt {hp} {count},skadar {count} {hp}
BREAK_SHIELD,broke {amount}⛨,bräckte {amount}⛨
SHIELDING,shielding {amount}⛨,skyddar {amount}⛨
DEFENCE_STAT,def,def
EXPOSED,exposed,exponerad
NO_ROBOT_NAME,Simon Cyberdeck,Simon Cyberdeck
NOTICE_INSPIRATION,Inspiration,Inspiration
LOST_PUNISHMENT,Lost punishment card ""{card}"",Förlorade straffkortet ""{card}""
PERFORM_UNKNOWN_EFFECT,perform unknown effect,utför okänd effekt
SELECT_TO_EFFECT,Select {count} {type} to {effect},Välj {count} {type} att {effect}
HAS_SLOTTED_TOOLTIP,Click when done slotting cards,Klicka när du valt klart dina kort
SWAP_HAND_TOOLTIP,Skip turn and get new hand,Skippa din tur och få en ny hand
DOOR_LOCKED,Locked,Låst
DOOR_OPEN,Open,Öppen
DOOR_CLOSED,Closed,Stängd
DOOR_UNKNOWN,Unknown,Okänt
NOTICE_DOOR_LOCKED,Door locked,Dörr låst
MISSING_ITEM,Missing {item},Saknar {item}
NOTICE_DOOR_BYPASS,Door bypass,Dörr hackad
INSUFFICIENT_LEVEL,Insufficient skill level to attempt,Färdighet inte tillräcklig för att försöka
NOTICE_DOOR_UNLOCKED,Door unlocked,Dörr upplåst
GAINED_ITEM,Gained {item},Mottog {item}
LOST_ITEM,Lost {item},Förlorade {item}
UNLOCK_FAILED,Could not unlock with {item},Kunde inte låsa upp med {item}
USED_ITEM,Used {item},Använde {item}
NOTICE_HACKING,Hacking,Hacking
NOT_WORTH,Not worth the risk,Inte värt risken
NOTICE_PUNISHMENT,Punishment,Straff
GAINED_CARD,Gained card ""{card}"",Fick kortet ""{card}""
ENEMY_GAINED_CARD,An enemy gained card ""{card}"",En fiende fick koretet ""{card}""
NOTICE_INACCESSIBLE,Inaccessible,Otillgänglig
CARDINAL_NONE,None,Ingen
CARDINAL_NORTH,North,Norr
CARDINAL_NORTH_SHORT,N,N
CARDINAL_SOUTH,South,Syd
CARDINAL_SOUTH_SHORT,S,S
CARDINAL_WEST,West,Väst
CARDINAL_WEST_SHORT,W,V
CARDINAL_EAST,East,Öst
CARDINAL_EAST_SHORT,E,Ö
CARDINAL_UP,Up,Upp
CARDINAL_UP_SHORT,U,Upp
CARDINAL_DOWN,Down,Ner
CARDINAL_DOWN_SHORT,D,Ner
LEFT,left,vänster
RIGHT,right,höger
NOTICE_KEYRING,Key ring,Nyckelknippa
GAINED_KEY_COUNT,Gained {count} {key},Plocka upp {count} {key}
GAINED_NEW_KEY_COUNT,Gained new key ""{key}"" ({count}),Plocka upp ny nyckel ""{key}"" ({count})
MOVEMENT_NONE,None,Ingen
MOVEMENT_FORWARD,Forward,Framåt
MOVEMENT_BACKWARD,Back,Bakåt
MOVEMENT_STRAFE_LEFT,Strafe left,Vänster
MOVEMENT_STRAFE_RIGHT,Strafe right,Höger
MOVEMENT_TURN_CLOCKWISE,Turn right,Vänd höger
MOVEMENT_TURN_COUNTER_CLOCKWISE,Turn left,Vänd vänster 
MOVEMENT_ABS_DOWN,Absolute down,Absolut ner
MOVEMENT_ABS_UP,Absolute up,Abolut upp
TRANSPORTATION_MODE_NONE,None,Inget
TRANSPORTATION_MODE_WALKING,Walking,Gående
TRANSPORTATION_MODE_FLYING,Flying,Flygande
TRANSPORTATION_MODE_CLIMBING,Climbing,Klättrande
TRANSPORTATION_MODE_WALL_WALKING,Wall Walking,Väggång
TRANSPORTATION_MODE_CEILING_WALKING,Ceiling Walking,Takgång
TRANSPORTATION_MODE_SQUEEZING,Squeezing,Trängande igenom
TRANSPORTATION_MODE_SWIMMING,Swimming,Simmande
TRANSPORTATION_MODE_UNKNOWN,Unknown,Okänt
UPGRADE,upgrade,uppgradera
MAXED_OUT,maxed out,maxad
FIGHTS_UNTIL_SLOT,{count} until slot,{count} tills slot
SLOTS_AND_COUNTDOWN,{slots} slots ({count} until next),{slots} slots ({count} till nästa)
DISEASED,diseased,avliden
SHIFT_CODES,Shift codes {direction},Skifta koder {direction}
DEPLOY_WORM,Deploy Worm,Sänd ut worm
RECALL_WORM,Recall Worm,Återkalla worm
HACKING_WORMS,Worms,Worms
HACKING_BOMBS,Logical Bombs,Logiska Bomber
HACKING_BOMB_REFUNDED,Bomb refunded,Bomb återgäldad
HACKING_PROXIES,Proxies,Proxies
NOTICE_HACKING_PROXY,Proxy,Proxy
HACKING_PROXY_DEPLOY,Deploy proxy to lower risk of failure penalty,Sätt upp en proxy för att minska riskerna
HACKING_PROXY_DEPLOYED,Successfully deployed,Framgångsrikt utsänd
HACKING_PROXY_FAILED_DEPLOY,Failed to deploy,Upprättandet misslyckat
HACKING_UNKNOWN,Unknown,Okänd
HACKING_RISK_LOW,Failing is as safe as it gets,Misslyckande är så ofarligt som det kan bli
HACKING_RISK_SLIGHT,Failure most likely prompts some reaction,Nederlag kommer troligtvis orsaka reakion
HACKING_RISK_DEFAULT,Failure will have consequences,Nederlag kommer ha konsekvenser
HACKING_RISK_SEVERE,The fallout of failing will be severe,Utfallet av misslyckande kommer vara drastiskt
HACKING_RISK_UNKNOWN,Unknown risk of consequences when failing,Okänd risk för konsekvenser vid nederlag
HACKING_PASSCODE,Passcode,Löningskod
ON_CARD,1 card,1 kort
CARD_COUNT,{count} cards,{count} kort
MODEL,Model,Model
TIER_COUNT,Tier {level},Nivå {level}
BUY_COST,Buy {cost},Köp {cost}
ACTIVE,Active,Aktiv
NOT_ACTIVE,Not active,Inte aktiv
NOTICE_SETTINGS,Settings,Inställningar
TUTORIALS_RESET,All tutorials reset,All handledning nollställd
NOTICE_CREDITS,Credits,Credits
